name,team,g,a,pts,pim
Tristan Zegil,Belarus,19,21,40,6
Steve Martin,Belarus,19,17,36,0
Tristan Cabral,Belarus,16,18,34,14
Jace Metheral,Garner,15,16,31,0
Adam Garbutt,Cashtown,21,7,28,2
Jesse Metheral,Coates Creek,17,11,28,16
John Millsap ,Cashtown,12,16,28,0
Jeff Smith ,Garner,10,17,27,4
Eric Albert,New Lowell,8,15,23,4
Bill Cross,Garner,15,8,23,0
Corey Halliday,Coates Creek,13,10,23,6
Jeff Fawcett,Stayner,18,4,22,4
Matt Lemmon,Cashtown,12,10,22,14
Joe Nieleszeruk,Garner,9,10,19,4
Chris Martin,Stayner,8,10,18,4
Jordan McColl,New Lowell,11,6,17,2
Mike Robins ,Garner,8,9,17,4
Lonny Smith,Garner,11,6,17,10
Dane Metheral,New Lowell,8,8,16,4
Mike Guignard ,Belarus,10,5,15,0
Jeff Coates ,Belarus,1,13,14,0
Joe Degroot,Belarus,5,9,14,0
Mack Morrish,Coates Creek,5,9,14,12
Andy Rowbotham,Cashtown,3,11,14,0
Derrick Robson,Cashtown,8,6,14,2
Dan Hamelin ,Cashtown,4,9,13,4
Sean Hayward,Garner,2,11,13,8
Wes Miller,Stayner,8,5,13,12
Brent Larose ,New Lowell,5,7,12,6
Dustin Marsden,Garner,3,9,12,16
Chris Millsap,Cashtown,7,5,12,0
Tim Talbot,Coates Creek,7,5,12,2
Brent Trott,Coates Creek,6,6,12,0
Scott Holmes,Coates Creek,1,10,11,6
Andrew Vanderheyden ,New Lowell,4,7,11,10
Kyle Coker,Stayner,5,5,10,10
Sparky Duits,Garner,2,7,9,0
Mike Foster,Stayner,5,4,9,4
Shawn Hughson ,Cashtown,0,9,9,0
Jim Malcom,Coates Creek,5,4,9,16
Brian Streigl,New Lowell,5,4,9,6
Ed Van Severen ,Cashtown,2,7,9,4
Taylor Wadeson,Cashtown,6,3,9,2
Curtis Kenwell,Coates Creek,2,6,8,2
Barry Lightheart,Stayner,5,3,8,12
Darren McQuay ,Stayner,1,7,8,2
MarkDavid Shave ,Garner,2,6,8,4
Pete Smith ,New Lowell,2,6,8,0
Andy Vanderheyden,New Lowell,3,5,8,6
David Dillon ,Coates Creek,3,4,7,4
Rich Gauthier,Coates Creek,3,4,7,8
Rich Gill ,New Lowell,1,6,7,2
Shane Guignard,Belarus,3,4,7,0
Chris Lammle,Belarus,3,4,7,8
Kevin Lowe,New Lowell,2,5,7,6
Dean McDonald,New Lowell,3,4,7,2
Kent McKenzie,Stayner,2,5,7,6
Pete Polasek,Stayner,2,5,7,0
Dan Sommerville,Garner,4,3,7,2
Brad Soules,Stayner,1,6,7,2
Paul Sweeny ,New Lowell,6,1,7,0
Carl Gaudreault,Coates Creek,4,2,6,24
Andrew Rentner,Cashtown,1,5,6,10
Jarid Singleton,Belarus,2,4,6,0
Andy Greip,Garner,0,5,5,6
Ryan McCartney ,New Lowell,2,3,5,2
Jarid Ross,Belarus,1,4,5,0
Gary Stamp,Cashtown,2,3,5,4
Jeff Williams ,Garner,2,3,5,2
Chris English,Garner,2,2,4,16
Jean-Paul Laferriere,Stayner,0,4,4,2
Rick Metheral,Coates Creek,2,2,4,6
Paul Nicholson,Coates Creek,1,3,4,6
John Nuttley,Belarus,0,4,4,8
Grant Taylor ,Cashtown,0,4,4,0
Mike Hughes,Stayner,1,2,3,0
Ed Leonard,Stayner,1,2,3,4
Wade Marsh,Belarus,1,2,3,20
Dave Wiley,Belarus,0,3,3,4
Andrew Cuddingham,Stayner,0,2,2,0
Paul Curran,New Lowell,0,2,2,0
Mark Stephens,New Lowell,1,1,2,0
Colin Dodd,Coates Creek,0,1,1,2
Adam Coe,Coates Creek,0,0,0,0
Jay Geneau ,Garner,0,0,0,0
Dan Lemmon,Cashtown,0,0,0,0
Ryan Lightheart,Stayner,0,0,0,0
Sean Marles,Belarus,0,0,0,0
Paul McCartney ,New Lowell,0,0,0,2
Donnie Thomson ,Belarus,0,0,0,0
Jeremy Van Severen,Coates Creek,0,0,0,2
