name,team,g,a,pts,pim
Chuck Coates,null,35,26,61,8
Jeff Scott,null,39,9,48,4
Tristan Cabral,null,24,18,42,2
Blake Stevens,null,26,12,38,6
Matt Lemmon,null,20,10,30,16
Jeff Coates,null,7,17,24,6
Joe Degroot,null,13,10,23,0
Keenan Hughson,null,8,15,23,0
Chris Martin,null,10,13,23,0
Andrew Vanderheyden,null,8,13,21,14
Brent Larose,null,13,7,20,2
David Mendicino,null,9,10,19,10
Shane Guignard,null,8,10,18,0
Rob Kingham,null,10,7,17,10
MarkDavid Shave,null,6,11,17,4
Jeff Smith,null,11,6,17,0
Ed Van Severen,null,6,11,17,8
Dan Hamelin,null,10,6,16,0
Shawn Hughson,null,7,9,16,2
Mark Stevens,null,5,11,16,6
Mike Foster,null,4,11,15,4
Michel Guignard,null,5,10,15,2
Brian Striegl,null,13,2,15,2
Josh Harting,null,6,8,14,2
David Dillon,null,6,7,13,4
Sean Hayward,null,9,3,12,4
Chris Lammle,null,5,7,12,6
Luke Roy,null,3,9,12,0
Bob Dawson,null,6,5,11,4
Jesse Hubbert,null,5,6,11,0
Wade Marsh,null,4,7,11,10
Mike Robins,null,7,4,11,0
Chris English,null,4,6,10,4
Paul McCartney,null,3,7,10,6
John Millsap,null,3,6,9,2
Pete Smith,null,0,9,9,2
Sean Marles,null,4,4,8,2
Rich Gill,null,2,5,7,2
Steve Hepburn,null,3,4,7,4
Ryan McCartney,null,4,3,7,2
Chad Vibert,null,2,5,7,2
Chris Hayward,null,0,6,6,24
Chris Townes,null,2,4,6,0
Dave Wiley,null,3,3,6,2
Gary Stamp,null,2,3,5,4
Grant Taylor,null,2,3,5,0
Jim Boyd,null,2,2,4,6
Tyler Branson,null,2,2,4,0
Steve Creet,null,0,3,3,4
Dave Kennedy,null,0,3,3,0
Jesse Kenwell,null,1,2,3,0
Darren McQuay,null,2,1,3,0
Dick Millsap,null,0,3,3,2
Andy Vanderheyden,null,1,2,3,4
Jamie Duits,null,0,2,2,0
Jeff Williams,null,2,0,2,0
John Nutley,null,0,1,1,2
Grant Balbirnie,null,0,0,0,0
Brian Doran,null,0,0,0,0
Jay Geneau,null,0,0,0,0
Dan Lemmon,null,0,0,0,0
Donnie Thomson,null,0,0,0,0
