name,team,g,a,pts,pim
Kyle Weston,Coates Creek,32,12,44,2
Dan Holwell,New Lowell,30,11,41,0
Jeff Scott,Belarus,26,12,38,0
Brandon Norie,Coates Creek,20,18,38,10
Jace Metheral,Herbtown,19,18,37,0
Rick Darryl,Herbtown,23,10,33,2
Dan Covari,Coates Creek,18,13,31,2
Chase Tippen,Herbtown,11,16,27,10
John Patterson,Stayner,16,10,26,6
Eric Steal,Cashtown,17,8,25,2
Jordan McColl,New Lowell,13,12,25,6
Bill Cross,Cashtown,10,14,24,0
Kevin Lowe,New Lowell,16,7,23,6
Blake Stephens,New Lowell,12,11,23,10
Sparky Duits,Herbtown,6,14,20,6
Pete Walker,Stayner,11,7,18,4
Chris Martin,Stayner,9,9,18,6
Mike Guignard ,Belarus,8,10,18,0
Wes Miller,Stayner,11,6,17,18
Jeff Snyder,Cashtown,10,7,17,4
Brent Trott,Coates Creek,6,11,17,0
Brent Larose ,New Lowell,1,16,17,6
Tyler Barrett,Coates Creek,7,9,16,8
Matt Lemmon,Cashtown,7,9,16,8
John Millsap ,Cashtown,8,7,15,0
Walt Rowbotham,Cashtown,7,8,15,0
Jeff Eichenberber,Stayner,6,9,15,4
Mike Robins ,Herbtown,9,5,14,0
Andrew Vanderheyden ,New Lowell,7,7,14,6
Dane Metheral,New Lowell,6,8,14,4
Ed Van Severen ,Cashtown,5,9,14,2
Dean McDonald,Coates Creek,4,10,14,6
Rich Gauthier,Coates Creek,2,12,14,8
Barry Lightheart,Stayner,7,6,13,10
Shane Walker,Belarus,7,6,13,6
Adam Mead,Cashtown,5,8,13,2
Jamie Murphy,Herbtown,5,8,13,10
Glen Patterson,Stayner,5,8,13,2
Steve Martin,Belarus,7,5,12,8
Joe Degroot,Belarus,1,11,12,2
Mike Foster,Stayner,2,9,11,12
Ryan McCartney ,New Lowell,2,9,11,10
Adam Mclean,Herbtown,3,7,10,0
Shawn Hughson ,Cashtown,1,9,10,4
Jason Gardner,Cashtown,5,4,9,0
Lonny Smith,Herbtown,4,5,9,10
Wade Marsh,Belarus,3,6,9,16
Tim Talbot,Coates Creek,3,6,9,0
Chris Lammle,Belarus,1,8,9,14
Mat McGill,Belarus,6,2,8,0
Tristan Cabral,Belarus,4,4,8,2
Kevin Campbell,Herbtown,3,5,8,2
Scott Bone,Stayner,3,5,8,12
Dustin Marsden,Herbtown,3,5,8,28
Jeff Coates ,Belarus,2,6,8,0
David Dillon ,Coates Creek,2,6,8,4
John Nuttley,Belarus,1,7,8,2
Scott Kelly,Coates Creek,0,7,7,10
Gerry Weir,Herbtown,4,2,6,8
Rick Metheral,Coates Creek,1,5,6,8
Scott Holmes,Coates Creek,0,6,6,4
John Palmer,Belarus,4,1,5,2
Shawn Gillespie,Cashtown,2,3,5,0
Brian McIntyre,Cashtown,2,3,5,0
Pete Polasek,Stayner,2,3,5,8
Dave Wylie,Belarus,1,4,5,0
Carl Gaudreault,Coates Creek,0,5,5,4
Mike Hughes,Stayner,0,5,5,2
Creighton Vermeer,New Lowell,0,5,5,2
Steve Maxwell,Coates Creek,1,3,4,0
Gerritt Messer,Herbtown,1,3,4,2
Pete Wilson,New Lowell,1,3,4,0
Gary Stamp,Cashtown,0,4,4,6
Andy Vanderheyden,New Lowell,0,4,4,6
Josh Franks,Belarus,2,1,3,2
Sean Hayward,Herbtown,1,2,3,6
Trent Campbell,Stayner,0,3,3,2
Jarid Singleton,Herbtown,0,3,3,6
Jean-Paul Laferriere,Stayner,1,1,2,0
Andrew Rentner,Cashtown,1,1,2,2
Derrick Robson,Cashtown,1,1,2,0
Paul Curran,New Lowell,0,2,2,0
Kent McKenzie,Stayner,0,2,2,0
Eric Albert,New Lowell,1,0,1,0
Mike Hannon,Herbtown,0,0,0,4
Dan Lemmon,Cashtown,0,0,0,0
Ed Leonard,Stayner,0,0,0,6
Ryan Lightheart,Stayner,0,0,0,0
Paul McCartney ,New Lowell,0,0,0,0
Darren McQuay ,Stayner,0,0,0,0
Brad Soules,Stayner,0,0,0,0
Brian Streigl,New Lowell,0,0,0,0
Donnie Thomson ,Belarus,0,0,0,0
Jeremy Van Severen,Coates Creek,0,0,0,2
Taylor Wadeson,Cashtown,0,0,0,0
